SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,TaskType_Brainstorming,TaskType_Coding,TaskType_Homework Help,TaskType_Research,TaskType_Studying,TaskType_Writing
SESSION00030,2,Engineering,2025-02-26,5.03,2,3,1,0,2.5,False,False,False,False,True,False
SESSION00031,1,Biology,2024-12-28,23.79,6,3,0,0,2.4,False,False,False,False,True,False
SESSION00032,2,Computer Science,2025-04-20,19.04,7,3,2,0,3.3,False,False,False,False,True,False
SESSION00033,1,Psychology,2025-02-06,22.89,10,3,2,1,2.6,False,True,False,False,False,False
SESSION00034,2,Business,2025-04-10,10.59,4,3,0,0,3.9,False,False,False,False,False,True
SESSION00035,2,Math,2025-03-21,25.1,7,4,1,1,4.3,False,True,False,False,False,False
SESSION00036,2,Biology,2024-07-19,5.76,1,1,1,1,1.2,False,False,False,False,False,True
SESSION00037,2,Engineering,2025-04-09,33.79,8,2,3,0,1.6,False,False,False,False,False,True
SESSION00038,2,Psychology,2024-09-20,13.64,5,2,3,1,2.6,False,False,False,False,False,True
SESSION00039,1,Biology,2025-05-14,2.48,1,2,2,1,2.2,False,False,False,False,True,False
SESSION00040,3,Engineering,2025-03-06,11.77,3,4,3,1,4.4,False,True,False,False,False,False
SESSION00041,2,Computer Science,2025-06-21,33.29,15,2,2,1,1.7,False,False,False,False,False,True
SESSION00042,2,Biology,2025-06-13,20.27,6,3,1,0,3.4,False,False,False,False,True,False
SESSION00043,1,History,2025-04-23,33.63,7,4,3,1,5.0,False,False,True,False,False,False
SESSION00044,2,Psychology,2025-01-01,4.54,1,5,1,0,4.6,False,False,False,False,False,True
SESSION00045,2,Biology,2025-01-26,15.08,3,4,3,1,4.8,False,False,False,False,False,True
SESSION00046,1,Math,2025-04-19,27.97,6,3,3,1,1.4,False,False,False,False,False,True
SESSION00047,1,Engineering,2024-12-18,46.11,12,4,3,1,3.4,False,False,True,False,False,False
SESSION00048,2,Biology,2024-11-21,13.25,4,2,1,0,1.4,False,False,False,True,False,False
SESSION00049,3,Engineering,2024-10-27,16.9,6,3,3,1,3.7,False,False,False,False,True,False
SESSION00050,3,History,2025-02-28,28.49,5,5,3,1,5.0,False,False,False,False,False,True
SESSION00051,2,Psychology,2024-11-14,13.43,3,2,2,1,2.3,False,False,False,False,True,False
SESSION00052,3,Business,2024-09-09,22.72,11,2,3,1,1.0,False,False,False,False,True,False
SESSION00053,2,Computer Science,2025-06-08,7.98,1,4,2,1,4.2,False,False,False,True,False,False
SESSION00054,1,Biology,2024-07-10,15.52,3,5,3,1,5.0,False,False,False,False,False,True
SESSION00055,2,Psychology,2024-07-08,6.98,2,2,2,1,2.8,False,True,False,False,False,False
SESSION00056,2,Engineering,2024-12-16,6.25,2,4,3,1,5.0,False,True,False,False,False,False
SESSION00057,1,Engineering,2024-09-05,58.92,19,4,3,1,3.9,False,False,True,False,False,False
SESSION00058,2,Biology,2024-06-25,9.56,4,3,3,1,4.9,False,True,False,False,False,False
SESSION00059,1,Business,2025-01-31,31.58,9,4,2,1,4.6,False,False,False,False,True,False
SESSION00060,3,Psychology,2024-11-09,2.38,1,5,3,0,4.5,False,False,False,False,True,False
SESSION00061,2,Computer Science,2024-06-30,17.72,6,2,3,1,3.1,False,False,True,False,False,False
SESSION00062,2,Math,2025-03-09,14.78,7,3,3,0,2.5,False,True,False,False,False,False
SESSION00063,2,Computer Science,2025-06-21,10.6,2,2,3,1,1.7,False,True,False,False,False,False
SESSION00064,2,Business,2024-11-15,5.47,1,4,3,1,3.9,False,False,True,False,False,False
SESSION00065,1,Psychology,2025-03-02,12.2,2,4,2,1,4.4,True,False,False,False,False,False
SESSION00066,2,Biology,2024-11-02,8.89,3,3,3,1,2.7,False,True,False,False,False,False
SESSION00067,2,Computer Science,2024-12-02,6.84,1,3,2,1,2.5,False,False,False,False,True,False
SESSION00068,2,Business,2025-04-11,12.79,2,3,3,1,3.8,False,True,False,False,False,False
SESSION00069,2,History,2025-05-15,41.2,12,3,2,1,3.1,False,False,False,False,True,False
SESSION00070,3,Computer Science,2024-06-26,16.56,6,2,3,1,3.0,False,False,True,False,False,False
SESSION00071,2,Engineering,2024-10-24,10.4,3,4,2,1,5.0,False,False,False,False,True,False
SESSION00072,2,Business,2025-05-24,11.04,5,3,1,0,2.3,False,True,False,False,False,False
SESSION00073,2,Math,2024-12-20,5.3,1,3,3,1,2.3,False,True,False,False,False,False
SESSION00074,1,Engineering,2024-07-27,14.02,4,4,1,0,4.4,False,False,False,False,True,False
SESSION00075,1,Psychology,2024-08-15,49.67,10,5,3,0,5.0,False,False,False,False,False,True
SESSION00076,3,Biology,2025-05-17,13.4,3,4,3,1,5.0,False,False,False,False,True,False
SESSION00077,2,Engineering,2024-07-31,26.8,8,3,2,1,2.5,False,False,False,False,False,True
SESSION00078,2,History,2025-02-09,7.29,1,5,3,1,5.0,False,True,False,False,False,False
SESSION00079,3,Business,2025-01-12,48.37,20,3,3,1,3.2,False,False,True,False,False,False
SESSION00080,2,History,2025-01-28,37.05,13,2,2,1,1.8,False,True,False,False,False,False
SESSION00081,2,History,2025-04-17,15.94,6,3,3,0,4.3,False,False,True,False,False,False
SESSION00082,2,Computer Science,2024-08-08,16.4,4,4,3,1,4.2,False,False,False,False,True,False
SESSION00083,2,Math,2025-02-09,19.56,7,5,1,0,5.0,True,False,False,False,False,False
SESSION00084,3,Business,2024-08-15,11.48,2,3,2,1,2.5,False,False,True,False,False,False
SESSION00085,2,Business,2024-12-24,16.28,3,2,2,0,1.5,False,False,False,False,False,True
SESSION00086,1,Math,2025-01-01,7.34,2,2,1,0,2.6,False,False,False,False,False,True
SESSION00087,3,Business,2025-01-24,16.32,3,5,3,1,4.2,False,True,False,False,False,False
SESSION00088,1,Business,2025-01-24,14.88,5,3,3,1,4.1,False,False,True,False,False,False
SESSION00089,2,History,2025-04-01,14.59,4,3,3,1,3.5,False,False,True,False,False,False
SESSION00090,2,Business,2025-04-15,4.65,1,4,1,0,3.1,False,False,False,False,True,False
SESSION00091,2,Computer Science,2024-11-03,24.83,8,3,3,1,3.4,False,False,False,False,False,True
SESSION00092,2,Biology,2024-08-09,10.39,2,5,3,0,5.0,False,False,False,False,False,True
SESSION00093,2,Math,2025-02-21,35.49,16,5,1,1,5.0,False,False,True,False,False,False
SESSION00094,3,History,2025-05-04,12.9,3,2,1,1,1.0,False,False,True,False,False,False
SESSION00095,1,Business,2024-07-06,9.77,2,2,3,1,2.0,False,False,True,False,False,False
SESSION00096,3,Biology,2025-04-25,11.12,4,4,0,0,3.9,False,False,False,False,False,True
SESSION00097,1,History,2025-05-14,30.82,14,4,3,1,2.3,False,False,True,False,False,False
SESSION00098,2,Engineering,2025-02-26,27.26,7,3,0,1,2.8,False,False,True,False,False,False
SESSION00099,2,Math,2024-10-25,11.17,3,4,2,1,2.7,False,False,False,False,True,False
SESSION00100,3,Psychology,2024-09-27,4.68,1,3,1,0,2.8,False,False,False,False,True,False
SESSION00101,3,Biology,2024-10-23,24.33,5,4,3,1,3.5,False,False,True,False,False,False
SESSION00102,2,Engineering,2025-01-18,16.16,4,4,3,1,1.9,False,False,False,False,True,False
SESSION00103,2,Business,2025-05-09,8.75,3,3,2,1,1.0,False,False,True,False,False,False
SESSION00104,2,Psychology,2024-12-06,14.9,3,3,2,0,1.6,False,False,False,False,False,True
SESSION00105,2,Biology,2024-10-15,14.8,5,3,3,1,3.0,False,True,False,False,False,False
SESSION00106,2,Business,2024-07-09,7.82,2,4,2,1,3.7,False,False,False,False,True,False
SESSION00107,2,Psychology,2025-05-23,39.45,8,4,2,1,3.2,False,False,False,False,True,False
SESSION00108,1,Business,2024-08-04,16.63,4,1,1,0,1.5,False,False,False,False,True,False
SESSION00109,3,Math,2024-07-15,41.83,16,2,2,0,1.9,False,False,False,False,True,False
SESSION00110,3,Engineering,2025-06-23,15.97,6,3,3,1,3.5,False,False,False,False,False,True
SESSION00111,3,Computer Science,2024-10-18,39.43,16,4,0,0,5.0,False,False,False,True,False,False
SESSION00112,2,Biology,2025-03-09,28.36,7,4,3,1,3.9,False,False,False,False,False,True
SESSION00113,2,Biology,2024-08-16,10.94,5,5,2,1,3.6,False,True,False,False,False,False
SESSION00114,2,Psychology,2025-03-21,25.5,6,3,3,1,3.6,False,False,True,False,False,False
SESSION00115,1,Math,2024-10-02,23.19,9,4,3,0,2.9,False,False,True,False,False,False
SESSION00116,1,Business,2025-05-06,13.61,3,3,2,1,3.6,False,False,False,False,False,True
SESSION00117,3,Psychology,2024-11-18,18.01,4,3,2,1,3.1,False,False,False,False,False,True
SESSION00118,2,Biology,2024-08-22,22.8,4,4,1,0,3.7,False,False,False,False,False,True
SESSION00119,2,Computer Science,2024-10-11,15.91,5,4,2,0,3.1,False,False,False,True,False,False
SESSION00120,2,Math,2024-11-03,20.93,9,5,3,1,5.0,False,False,False,False,True,False
SESSION00121,2,History,2025-05-20,33.88,7,5,2,1,4.3,False,False,False,False,False,True
SESSION00122,1,Biology,2024-12-01,7.12,3,3,3,0,2.4,True,False,False,False,False,False
SESSION00123,2,Engineering,2024-07-22,19.37,4,2,0,0,2.7,False,False,False,False,True,False
SESSION00124,2,Math,2025-01-16,16.79,4,5,1,0,4.4,True,False,False,False,False,False
SESSION00125,3,Biology,2024-11-12,13.61,3,5,3,1,3.6,True,False,False,False,False,False
SESSION00126,2,Math,2024-07-23,19.28,5,3,3,0,2.5,False,False,False,False,False,True
SESSION00127,3,Biology,2025-01-03,16.64,4,3,0,1,2.5,False,False,False,False,True,False
SESSION00128,2,Psychology,2024-10-21,18.61,4,5,3,1,4.4,False,False,False,False,False,True
SESSION00129,1,Computer Science,2025-04-06,14.37,4,5,3,0,4.7,False,False,False,True,False,False
SESSION00130,2,Psychology,2024-10-18,3.6,1,4,3,1,4.9,False,False,False,False,False,True
SESSION00131,2,History,2024-11-29,37.72,7,3,3,1,2.9,False,False,False,False,False,True
SESSION00132,2,Math,2024-07-02,8.05,2,5,3,1,4.5,False,True,False,False,False,False
SESSION00133,2,Psychology,2024-07-04,20.21,5,3,2,0,2.6,False,False,False,False,True,False
SESSION00134,3,Psychology,2024-10-12,14.06,3,5,0,0,5.0,False,False,True,False,False,False
SESSION00135,2,Computer Science,2024-10-29,15.82,4,4,2,1,3.6,False,False,False,False,False,True
SESSION00136,1,Computer Science,2024-09-03,6.97,2,4,0,0,4.2,False,False,False,False,True,False
SESSION00137,2,Business,2025-03-27,2.54,1,5,2,1,5.0,False,True,False,False,False,False
SESSION00138,3,Psychology,2024-07-30,10.73,4,4,2,0,5.0,False,False,False,False,False,True
SESSION00139,2,Business,2025-05-27,18.37,4,5,3,1,5.0,False,True,False,False,False,False
SESSION00140,3,Math,2024-08-16,8.62,2,3,3,1,2.1,False,True,False,False,False,False
SESSION00141,2,Computer Science,2025-06-20,23.52,11,3,3,1,2.3,False,False,False,False,False,True
SESSION00142,2,History,2025-01-13,20.13,5,5,2,0,5.0,False,False,False,True,False,False
SESSION00143,3,History,2025-02-13,15.46,4,5,1,0,5.0,False,False,False,False,True,False
SESSION00144,2,History,2025-02-11,14.86,6,3,3,1,2.7,True,False,False,False,False,False
SESSION00145,3,Computer Science,2025-05-20,18.14,6,3,3,1,2.3,False,True,False,False,False,False
SESSION00146,1,Business,2024-08-01,16.64,7,5,3,1,5.0,True,False,False,False,False,False
SESSION00147,2,Math,2024-11-11,31.16,6,3,2,1,2.8,False,False,False,False,False,True
SESSION00148,2,Engineering,2024-08-07,11.21,3,3,2,1,1.6,False,False,False,False,True,False
SESSION00149,2,Psychology,2024-07-30,10.41,2,4,3,1,2.8,False,False,False,False,False,True
SESSION00150,2,Math,2024-10-04,26.97,6,4,1,0,3.7,False,False,True,False,False,False
SESSION00151,1,Computer Science,2025-04-18,22.46,10,3,1,1,2.6,False,False,False,False,True,False
SESSION00152,3,Psychology,2024-10-31,7.53,2,4,3,1,3.2,False,False,False,False,True,False
SESSION00153,3,Biology,2024-10-25,14.95,3,4,2,1,2.2,False,True,False,False,False,False
SESSION00154,2,Engineering,2025-06-04,15.7,5,5,3,1,3.3,False,False,True,False,False,False
SESSION00155,3,Computer Science,2024-08-11,25.73,8,4,3,1,3.7,False,False,True,False,False,False
SESSION00156,2,Business,2024-09-02,7.61,3,3,3,1,3.2,False,False,True,False,False,False
SESSION00157,2,Business,2025-02-02,20.22,6,2,3,1,1.0,False,False,True,False,False,False
SESSION00158,2,Business,2024-09-14,14.04,3,4,2,1,4.2,False,True,False,False,False,False
SESSION00159,3,Computer Science,2025-02-05,12.47,4,2,3,1,3.8,False,False,True,False,False,False
SESSION00160,2,Engineering,2025-04-30,6.51,1,4,3,1,4.0,False,True,False,False,False,False
SESSION00161,2,Business,2024-07-24,11.77,4,3,3,1,2.9,False,True,False,False,False,False
SESSION00162,2,History,2024-09-21,13.1,2,3,3,1,1.3,False,False,False,False,False,True
SESSION00163,3,Psychology,2024-07-13,3.22,1,5,3,1,4.8,False,False,True,False,False,False
SESSION00164,1,Engineering,2024-10-09,11.77,2,5,3,0,4.4,False,False,False,False,False,True
SESSION00165,1,Computer Science,2024-10-22,8.04,1,3,3,0,3.3,False,False,False,False,False,True
SESSION00166,1,Business,2025-05-16,8.32,1,2,2,0,1.0,False,False,False,False,True,False
SESSION00167,1,Computer Science,2025-04-15,11.18,3,3,1,1,3.2,False,False,True,False,False,False
SESSION00168,2,Math,2025-01-23,40.08,9,4,3,1,4.1,False,True,False,False,False,False
SESSION00169,2,Engineering,2025-04-13,8.02,2,4,3,1,4.7,False,True,False,False,False,False
SESSION00170,2,Computer Science,2025-01-20,6.85,1,4,1,0,4.7,False,False,False,False,False,True
SESSION00171,2,Business,2025-06-13,24.99,5,4,2,1,3.3,False,False,False,False,True,False
SESSION00172,2,Engineering,2025-05-23,1.2,1,4,3,0,3.9,False,False,False,False,True,False
SESSION00173,2,Engineering,2024-07-24,21.11,8,3,3,1,3.3,False,False,True,False,False,False
SESSION00174,1,Math,2025-05-05,13.04,3,2,1,0,1.0,False,False,False,False,False,True
SESSION00175,2,Engineering,2025-03-27,20.31,7,4,2,1,4.0,False,False,False,False,True,False
SESSION00176,2,Psychology,2025-01-23,16.66,3,3,3,1,3.1,False,False,False,False,False,True
SESSION00177,2,Business,2025-06-22,13.47,2,4,3,1,3.8,False,False,False,False,False,True
SESSION00178,2,Biology,2025-02-03,9.27,2,4,3,1,5.0,False,False,False,False,False,True
SESSION00179,2,Engineering,2025-05-27,11.43,2,3,3,1,3.3,False,False,False,False,False,True
SESSION00180,3,Psychology,2025-03-19,19.55,8,3,1,0,1.2,False,True,False,False,False,False
SESSION00181,2,Computer Science,2025-01-22,8.34,2,3,3,1,4.9,False,False,False,False,False,True
SESSION00182,2,Computer Science,2024-10-17,3.55,1,3,2,1,2.3,False,False,False,False,True,False
SESSION00183,2,Psychology,2025-06-10,9.93,3,5,3,1,5.0,False,True,False,False,False,False
SESSION00184,1,Business,2025-01-24,3.64,1,5,2,1,4.4,False,False,False,False,False,True
SESSION00185,2,Business,2025-03-06,38.8,8,3,2,1,3.4,False,False,False,False,False,True
SESSION00186,1,Psychology,2024-10-17,8.9,2,5,1,0,4.7,False,False,False,False,True,False
SESSION00187,2,Business,2024-08-02,20.62,4,2,3,1,2.1,False,False,False,False,False,True
SESSION00188,3,Biology,2025-06-06,27.27,6,5,3,1,4.5,False,True,False,False,False,False
SESSION00189,2,Biology,2024-11-27,39.67,19,4,3,0,3.9,False,True,False,False,False,False
SESSION00190,1,Math,2025-04-12,9.45,3,4,3,1,3.5,False,False,True,False,False,False
SESSION00191,2,Computer Science,2025-06-20,13.43,2,3,0,1,3.9,False,False,False,False,False,True
SESSION00192,2,Computer Science,2024-07-09,11.71,3,3,1,1,2.9,False,False,True,False,False,False
SESSION00193,3,Computer Science,2024-10-23,16.22,5,3,3,1,3.2,False,False,True,False,False,False
SESSION00194,2,Biology,2025-06-15,19.03,4,3,0,0,3.6,False,False,False,False,True,False
SESSION00195,2,Computer Science,2025-05-30,10.37,4,4,1,0,4.3,False,False,False,False,True,False
SESSION00196,2,Business,2024-12-04,37.05,14,5,2,1,5.0,False,False,False,False,True,False
SESSION00197,2,Business,2024-07-30,26.61,5,4,3,0,3.3,True,False,False,False,False,False
SESSION00198,2,Computer Science,2025-03-06,72.82,25,2,0,0,2.0,False,False,True,False,False,False
SESSION00199,3,Computer Science,2024-10-31,24.43,5,5,3,0,5.0,False,False,True,False,False,False
SESSION00200,2,Business,2024-10-06,15.52,4,2,1,0,2.8,False,False,False,False,True,False
SESSION00201,3,Business,2025-04-07,1.68,1,3,1,1,1.7,False,False,True,False,False,False
SESSION00202,3,Computer Science,2024-07-14,13.99,2,3,1,0,4.3,False,False,True,False,False,False
SESSION00203,2,History,2024-08-16,23.58,6,4,2,0,3.9,False,True,False,False,False,False
SESSION00204,1,Biology,2024-07-20,19.3,6,4,3,1,2.5,False,False,False,False,True,False
SESSION00205,1,Biology,2024-07-30,31.13,6,4,3,1,2.5,False,False,True,False,False,False
SESSION00206,3,Psychology,2025-02-07,14.96,4,2,2,1,1.8,False,False,False,False,True,False
SESSION00207,2,Business,2024-06-25,47.16,17,4,3,1,3.3,False,False,False,False,True,False
SESSION00208,2,Biology,2024-08-04,4.48,1,3,3,1,3.2,False,False,True,False,False,False
SESSION00209,2,Engineering,2025-06-05,39.95,9,4,0,0,3.9,False,False,True,False,False,False
SESSION00210,2,History,2024-12-26,48.04,10,5,1,0,3.9,False,True,False,False,False,False
SESSION00211,2,Math,2024-07-10,7.55,3,4,0,0,5.0,False,False,False,False,False,True
SESSION00212,1,Engineering,2024-12-23,20.2,5,3,3,0,4.0,False,False,False,False,True,False
SESSION00213,2,Psychology,2025-05-04,20.35,7,4,3,0,5.0,False,True,False,False,False,False
SESSION00214,2,Computer Science,2024-11-11,84.15,31,5,1,0,5.0,False,False,True,False,False,False
SESSION00215,2,Business,2024-11-28,10.54,4,5,2,1,5.0,False,False,False,False,False,True
SESSION00216,1,History,2025-01-20,5.76,1,5,3,1,5.0,False,False,True,False,False,False
SESSION00217,2,Engineering,2024-08-04,10.93,3,1,1,0,2.0,False,False,False,True,False,False
SESSION00218,2,Biology,2024-10-04,11.12,2,3,3,1,2.5,False,False,True,False,False,False
SESSION00219,2,Psychology,2024-08-24,43.1,12,3,2,1,3.0,False,False,False,False,True,False
SESSION00220,3,Math,2025-02-08,5.18,1,4,3,1,4.9,False,False,False,False,True,False
SESSION00221,3,Business,2025-06-23,23.58,6,3,2,1,3.2,False,False,False,False,False,True
SESSION00222,2,Engineering,2025-01-27,30.16,11,2,3,1,2.4,False,False,True,False,False,False
SESSION00223,2,Biology,2025-06-06,17.16,5,3,3,1,2.4,False,True,False,False,False,False
SESSION00224,1,History,2025-04-28,24.37,6,3,3,1,4.4,False,False,False,False,False,True
SESSION00225,3,Engineering,2024-09-28,15.24,5,4,3,0,4.3,False,False,False,False,True,False
SESSION00226,3,Biology,2024-07-25,44.81,11,5,3,1,4.9,False,False,False,False,False,True
SESSION00227,1,History,2024-10-31,18.58,8,5,1,0,3.8,False,False,False,True,False,False
SESSION00228,3,Math,2024-08-28,11.51,3,5,3,1,5.0,False,False,True,False,False,False
SESSION00229,3,Business,2024-09-03,62.93,17,2,3,0,1.9,False,False,False,False,False,True
SESSION00230,2,Computer Science,2025-03-02,33.3,7,3,1,0,2.3,False,True,False,False,False,False
SESSION00231,3,Psychology,2025-06-15,18.47,8,4,2,0,3.7,False,False,False,False,True,False
SESSION00232,2,Psychology,2025-01-30,46.97,20,3,3,1,1.0,False,False,True,False,False,False
SESSION00233,2,Business,2025-03-23,16.77,4,2,3,1,1.5,False,False,False,False,False,True
SESSION00234,1,History,2025-05-26,15.87,3,4,3,1,3.3,False,True,False,False,False,False
SESSION00235,2,Psychology,2024-08-03,15.21,7,2,3,1,1.1,False,False,False,False,False,True
SESSION00236,2,Computer Science,2025-02-23,33.03,10,2,3,0,2.0,False,False,False,False,False,True
SESSION00237,2,Psychology,2025-05-05,28.1,10,3,3,1,3.3,False,True,False,False,False,False
SESSION00238,2,Business,2024-06-30,10.52,4,4,3,1,3.5,False,False,False,False,False,True
SESSION00239,3,Math,2024-12-23,39.41,8,3,3,1,3.0,False,False,False,False,False,True
SESSION00240,2,Psychology,2024-09-16,8.87,4,3,1,0,4.1,False,False,True,False,False,False
SESSION00241,2,Engineering,2025-04-03,28.1,13,5,2,1,5.0,False,False,False,False,False,True
SESSION00242,3,Biology,2025-03-26,5.57,2,5,0,0,4.7,False,False,False,False,False,True
SESSION00243,2,Business,2024-08-12,4.8,2,2,3,1,2.4,False,False,True,False,False,False
SESSION00244,2,Computer Science,2024-08-28,10.72,3,3,1,0,3.6,False,False,False,False,False,True
SESSION00245,2,Engineering,2025-04-06,20.1,5,4,3,1,4.2,False,True,False,False,False,False
SESSION00246,2,Biology,2025-05-09,9.18,4,2,2,1,2.2,False,False,True,False,False,False
SESSION00247,3,Biology,2025-05-25,17.91,7,5,2,1,3.3,False,False,False,False,True,False
SESSION00248,3,Business,2025-03-16,17.27,4,4,3,1,4.6,False,True,False,False,False,False
SESSION00249,1,History,2025-01-07,22.81,6,4,3,1,3.1,False,False,True,False,False,False
SESSION00250,2,Biology,2024-09-24,27.42,5,3,3,0,4.2,False,False,True,False,False,False
SESSION00251,2,History,2024-11-29,13.08,4,3,3,1,4.0,False,False,True,False,False,False
SESSION00252,2,History,2024-06-26,25.74,6,3,1,0,3.5,False,False,False,False,True,False
SESSION00253,3,Biology,2025-03-15,11.92,4,1,3,1,1.0,False,False,False,False,True,False
SESSION00254,3,Business,2025-01-13,23.44,6,5,3,1,5.0,False,True,False,False,False,False
SESSION00255,2,Math,2025-05-29,19.44,7,4,2,1,3.8,True,False,False,False,False,False
SESSION00256,2,Business,2024-10-08,12.1,2,5,2,1,4.7,False,False,False,False,True,False
SESSION00257,2,Computer Science,2025-02-02,32.53,11,3,2,1,2.1,False,False,False,False,True,False
SESSION00258,3,Psychology,2025-04-28,11.69,4,3,3,1,2.6,False,False,True,False,False,False
SESSION00259,1,Psychology,2025-04-03,36.98,9,4,1,0,4.6,False,False,False,False,False,True
SESSION00260,2,Biology,2025-04-21,5.58,1,4,3,1,4.7,False,False,False,False,False,True
SESSION00261,3,History,2025-05-16,27.09,6,3,2,1,2.5,False,False,False,False,True,False
SESSION00262,3,Computer Science,2024-09-04,10.34,4,3,0,0,2.5,False,True,False,False,False,False
SESSION00263,2,Biology,2025-01-01,67.56,21,3,3,0,3.8,False,False,False,False,False,True
SESSION00264,2,Math,2025-01-22,17.13,6,4,0,0,3.8,False,False,False,False,True,False
SESSION00265,2,Engineering,2024-09-24,3.64,1,4,1,0,3.7,False,False,False,False,False,True
SESSION00266,2,Math,2024-07-17,12.54,4,3,2,0,3.0,False,False,False,False,False,True
SESSION00267,2,Computer Science,2024-12-07,2.32,1,2,3,1,2.3,False,False,False,False,False,True
SESSION00268,2,Engineering,2024-09-13,10.81,2,5,3,1,5.0,False,True,False,False,False,False
SESSION00269,2,Computer Science,2025-02-17,20.42,5,4,3,1,2.5,False,True,False,False,False,False
SESSION00270,1,Computer Science,2025-03-09,16.65,3,4,3,1,4.8,False,True,False,False,False,False
SESSION00271,3,Computer Science,2024-11-21,37.77,11,3,3,1,3.9,False,False,False,False,False,True
SESSION00272,3,Psychology,2024-09-06,2.61,1,4,3,1,5.0,False,False,False,False,False,True
SESSION00273,1,History,2025-05-10,9.13,4,5,3,0,4.1,False,True,False,False,False,False
SESSION00274,2,Engineering,2025-01-14,8.67,3,4,3,1,4.2,False,True,False,False,False,False
SESSION00275,2,Computer Science,2024-10-15,5.8,1,3,3,1,3.4,False,True,False,False,False,False
SESSION00276,2,History,2024-11-04,13.93,6,4,1,0,4.1,False,True,False,False,False,False
SESSION00277,3,Biology,2024-08-15,7.68,1,4,0,0,4.4,False,False,True,False,False,False
SESSION00278,1,Biology,2024-11-28,35.9,13,2,3,1,1.5,False,False,False,False,False,True
SESSION00279,2,Biology,2025-02-08,33.35,12,4,2,1,3.3,False,False,False,False,True,False
SESSION00280,2,History,2024-11-30,11.31,4,4,3,1,3.6,False,False,False,False,True,False
SESSION00281,2,Psychology,2025-06-12,6.85,1,4,1,0,3.9,False,False,False,False,True,False
SESSION00282,2,Engineering,2025-02-03,46.75,10,4,3,1,3.8,False,False,False,False,False,True
SESSION00283,3,Math,2024-10-13,30.02,7,3,1,0,2.2,False,False,True,False,False,False
SESSION00284,3,Engineering,2024-10-06,25.69,6,2,0,1,1.0,False,False,False,True,False,False
SESSION00285,1,Computer Science,2024-09-28,32.81,9,2,3,1,1.0,False,False,False,False,False,True
